"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"CEclipse: An Online IDE for Programing in the Cloud","L. Wu; G. Liang; S. Kui; Q. Wang","School of Electronics Engineering and Computer Science, Key laboratory of High Confidence Software Technology, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key laboratory of High Confidence Software Technology, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key laboratory of High Confidence Software Technology, Ministry of Education, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Key laboratory of High Confidence Software Technology, Ministry of Education, Peking University, Beijing, China",2011 IEEE World Congress on Services,"8 Sep 2011","2011","","","45","52","Due to the benefits of cloud computing, many desktop applications have been migrated into the cloud. In order to program in the cloud, lots of IDEs are also moved into the cloud at recent years. Although online IDE can bring developers a lot of convenience for their developing process, some tough problems are still less touched. This paper summarized three main kinds of actual problems from three aspects (Function implementation, Security guarantee, Advanced utilization) encountered when using the online IDE, and proposed three solutions (Services composition, Program behavior analysis, Program behavior mining) to handle these according problems. Finally, this paper introduce a real online IDE (CEclipse) developed by our research group and apply the three solutions in this online IDE.","2378-3818","978-1-4577-0879-4","10.1109/SERVICES.2011.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6012686","Cloud Computing;Service Composition;Program Analysis;Program Behavior;Online IDE","Java;Cloud computing;Servers;Monitoring;Security;Performance analysis","","20","1","28","IEEE","8 Sep 2011","","","IEEE","IEEE Conferences"
"Online code editor on Private cloud computing","W. Kimpan; T. Meebunrot; B. Sricharoen","Department of Computer Science, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand; Department of Computer Science, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand; Department of Computer Science, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand",2013 International Computer Science and Engineering Conference (ICSEC),"2 Jan 2014","2013","","","31","36","Programming tools are important for programmers to develop software. If the developers have a good tool, it can help them develop system faster and more accurate. This paper proposed the Online Code Editor that was created for programmers or developers who want to write programs without any platform requirements or without any specific physical computers. It bases on web application running on the Private cloud computing. The features of the editor are performed on web programming languages, e.g. HTML, PHP, CSS, and JavaScript. The editor is able to isolate programming languages by highlighting syntax of programs. Users can create new projects and files, import and export files that they want on a server. Moreover, Save, Auto save, Delete, and etc. are the additional functions of the editor. In this research of the text editor development, the open source software called, “Ace” was used for some functions such as Undo, Redo, and Syntax highlight. The experimental results indicated that the proposed editor can be practically used on Private cloud computing. Moreover, the comparison of the features among the proposed editor running on Private cloud, Notepad++, and EditPlus which running on personal computers, was summarized.","","978-1-4673-5324-3","10.1109/ICSEC.2013.6694748","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6694748","Online Editor;Private Cloud Computing;Ace","Cloud computing;Computers;HTML;Servers;Computational modeling;Syntactics","","3","","8","IEEE","2 Jan 2014","","","IEEE","IEEE Conferences"
"An Integrated Development Environment for Web Service Composition","G. Chafle; G. Das; K. Dasgupta; A. Kumar; S. Mittal; S. Mukherjea; B. Srivastava","IBM India Research Laboratory, New Delhi, India; IBM India Research Laboratory, New Delhi, India; IBM India Research Laboratory, New Delhi, India; IBM India Research Laboratory, New Delhi, India; IBM India Research Laboratory, New Delhi, India; IBM India Research Laboratory, New Delhi, India; IBM India Research Laboratory, New Delhi, India",IEEE International Conference on Web Services (ICWS 2007),"30 Jul 2007","2007","","","839","847","Web services provide an instantiation of the loosely coupled service–oriented architecture and facilitate the process of enterprise application integration by encapsulating information, software, and other resources. However, to exploit the true potential of web services, it is critical to develop technologies and tools for composing new services from existing ones. While numerous composition approaches have been developed in the past, very little has been done towards tooling. What is clearly lacking is an Integrated Development Environment (IDE) to ease the process of composition, thereby reducing development time and integration efforts. In this paper, we build on our previous work on service composition, and present an IDE for end–to–end composition of web services. We elaborate on the design of the IDE, describe its integration with existing technologies, and discuss its usability based on the findings of a user survey.","","0-7695-2924-0","10.1109/ICWS.2007.38","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4279679","","Web services;Service oriented architecture;Computer architecture;Application software;Usability;Prototypes;Output feedback;Software standards;Protocols;Paper technology","","17","","19","IEEE","30 Jul 2007","","","IEEE","IEEE Conferences"
"Varis: IDE Support for Embedded Client Code in PHP Web Applications","H. V. Nguyen; C. Kästner; T. N. Nguyen","ECpE Department, Iowa State University, USA; School of Computer Science, Carnegie Mellon University, USA; ECpE Department, Iowa State University, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,"17 Aug 2015","2015","2","","693","696","In software development, IDE services are used to assist developers in programming tasks. In dynamic web applications, however, since the client-side code is embedded in the server-side program as string literals, providing IDE services for such embedded code is challenging. We introduce Varis, a tool that provides services on the embedded client-side code. We perform symbolic execution on a PHP program to approximate its output and parse it into a VarDOM that compactly represents all its DOM variations. Using the VarDOM, we implement various types of IDE services for embedded client code including syntax highlighting, code completion, and 'find declaration'.","1558-1225","978-1-4799-1934-5","10.1109/ICSE.2015.225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7203045","IDE services;embedded code;web applications","HTML;Syntactics;Cascading style sheets;Servers;Presses;Approximation methods","","3","","10","IEEE","17 Aug 2015","","","IEEE","IEEE Conferences"
"Automating Repetitive Tasks on Web-Based IDEs via an Editable and Reusable Capture-Replay Technique","Y. Sun; D. Chen; C. Xin; W. Jiao","Ministry of Education, Peking University Key Laboratory of High Confidence Software Technologies, Beijing, China; Ministry of Education, Peking University Key Laboratory of High Confidence Software Technologies, Beijing, China; Ministry of Education, Peking University Key Laboratory of High Confidence Software Technologies, Beijing, China; Ministry of Education, Peking University Key Laboratory of High Confidence Software Technologies, Beijing, China",2015 IEEE 39th Annual Computer Software and Applications Conference,"24 Sep 2015","2015","2","","666","675","Web-based IDEs are more and more popular because developers can create or modify software artifacts in the browser without need to install any local development tool and spend valuable development time on system setup and maintenance. For those development tasks using a Web-based IDE, such as configuring programming context and batch test etc., some are frequent and repetitive because they are similar from project to project. Automating the repetitive tasks on Web-based IDEs, regardless of their complexity, would reduce the amount of work that developers must perform to complete the tasks, which would improve the development efficiency of Web applications. In this paper, we put forward a user-friendly approach to automating repetitive tasks on existing Web-based IDEs. The key to the approach is to extend the basic Web-based capture-replay technique with editable and reusable features, which are necessary for automation because some operations are redundant, as well as developers should recognize and define repetitive tasks. Moreover, we develop a supporting tool for the approach. In the case study, we introduce how the approach is used to support automating repetitive tasks on Web-based IDEs. Case studies verify that the approach can improve the development efficiency very well.","0730-3157","978-1-4673-6564-2","10.1109/COMPSAC.2015.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7273682","Automating repetitive tasks;Web-based IDE;Capture-Replay technique","Graphical user interfaces;Context;Mice;Browsers;Optimization;Software;Automation","","3","","18","IEEE","24 Sep 2015","","","IEEE","IEEE Conferences"
"Multimedia web-based programming development environment","R. Perry","Department of Electrical and Computer Engineering, Villanova University, Villanova, PA, USA","2007 37th Annual Frontiers In Education Conference - Global Engineering: Knowledge Without Borders, Opportunities Without Passports","4 Jan 2008","2007","","","F2H-13","F2H-18","A web-based environment for C, Java, and Unix shell script programming is described, together with its use in an engineering freshman C programming course. Besides the usual program development facilities such as compiling and debugging, the environment also provides multimedia features for presentation of program output, including audio, interactive graphics, interactive I/O, and HTML forms. The interactive graphics feature plots one or more user-defined functions and includes a graphical implementation of Newton's method for finding a zero given a function and its derivative. The audio feature plays 8 KHz. sampled sound which may be generated by a program directly or by performing signal processing on an input file. The HTML output feature allows students in advanced courses to develop specialized web-based sub- environments. The environment can be customized to provide different prototype files for each subproject of multiple courses and also different files for each student.","2377-634X","978-1-4244-1083-5","10.1109/FIE.2007.4417875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4417875","C Programming;Plotting;Programming Development Environment;Web-based","Java;HTML;Debugging;Graphics;Prototypes;Newton method;Signal generators;Acoustic signal processing;Programming environments;Open source software","","1","","7","IEEE","4 Jan 2008","","","IEEE","IEEE Conferences"
"Learning and practicing object-oriented programming using a collaborative web-based IDE","V. Nguyen; H. H. Dang; K. N. Do; T. D. Tran","Faculty of Information Technology, Vietnam National University, Ho Chi Minh city; Faculty of Information Technology, Vietnam National University, Ho Chi Minh city; Faculty of Information Technology, Vietnam National University, Ho Chi Minh city; Faculty of Information Technology, Vietnam National University, Ho Chi Minh city",2014 IEEE Frontiers in Education Conference (FIE) Proceedings,"19 Feb 2015","2014","","","1","9","Collaborative programming is an effective approach to software development, improving software quality, programmer's satisfaction and shortening delivery time This study examines the application of a collaborative Web-based IDE named IDEOL to execute a four-week multi-submission programming assignment in an introductory object-oriented programming class. Forty eight students forming 24 two-member groups in class used the IDE to interact and write source code required by the project. All collaborative and programming activities performed by students were recorded by IDEOL. The results of the study shows that students tend to postpone their programming work until the submission dates. This study also provides an approach to designing and executing an extended programming exercises, which receives high student satisfaction. Our results imply that IDEOL is a useful environment for students to collaborate, learn, and practice programming to improve their learning satisfaction. In addition, as students tend to procrastinate, IDEOL is a useful tool to facilitate, monitor, and report student progress in extended programming exercises.","2377-634X","978-1-4799-3922-0","10.1109/FIE.2014.7044141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7044141","Collaborative IDE;Web-based IDE;programming exercise;collaboration;interaction","Collaboration;Programming profession;Message systems;Debugging;Atmospheric measurements;Particle measurements","","6","","18","IEEE","19 Feb 2015","","","IEEE","IEEE Conferences"
"An interactive Web-based IDE towards teaching and learning in programming courses","H. T. Tran; H. H. Dang; K. N. Do; T. D. Tran; Vu Nguyen","VNU-HCM, University of Science, Ho Chi Minh City, Vietnam; VNU-HCM, University of Science, Ho Chi Minh City, Vietnam; VNU-HCM, University of Science, Ho Chi Minh City, Vietnam; VNU-HCM, University of Science, Ho Chi Minh City, Vietnam; VNU-HCM, University of Science, Ho Chi Minh City, Vietnam","Proceedings of 2013 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)","7 Nov 2013","2013","","","439","444","In programming courses, students are often asked to work in groups to write multiple programs. The existing Integrated Development Environments (IDE), however, do not encourage concurrent interactions among student programmers. Students often encounter difficulties in collaborative activities, sharing resources, reviewing code and discussing ideas, especially when the group cannot reach a common arrangement for face-to-face meetings at a convenient time and place. We propose to resolve this problem by transforming the traditional IDE into Software as a Service on the Web, and integrating collaborative features in order to create an interactive and responsive environment, where real-time on-the-job guidance, communication and collaboration can be delivered. In this paper, we introduce a web-based IDE designed for this purpose, and show how it can be applied in programming courses.","","978-1-4673-6355-6","10.1109/TALE.2013.6654478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6654478","web-based IDE;collaborative learning","Collaboration;Programming profession;Software;Servers;Education;Visualization","","10","","15","IEEE","7 Nov 2013","","","IEEE","IEEE Conferences"
"Program Behavior Analysis and Control for Online IDE","L. Wu; G. Liang; Q. Wang","School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China; School of Electronics Engineering and Computer Science, Peking University, Beijing, China",2012 IEEE 36th Annual Computer Software and Applications Conference Workshops,"10 Nov 2012","2012","","","182","187","Compared with the traditional local IDE, online IDE provides a no-install programming environment. The proceeding in this area is attracting more and more researchers' focuses. Although online IDE can bring developers a lot of convenience for developing process, it also suffers from some special challenges. While most current research work focuses only on the implementation of basic features, some tough problems are still less touched. This paper summarized three main kinds of actual problems (Wrong file operations, Banned method calling, and Excessive resource consumption) encountered when using the online IDE, and proposed a program behavior analysis based solutions to control these problems adaptively. Finally, this paper demonstrated the effectiveness of the proposed solutions by applying them in a real online IDE.","","978-0-7695-4758-9","10.1109/COMPSACW.2012.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6341572","program behavior; program analysis; control; adaptively; online IDE","Servers;Monitoring;Java;Performance analysis;Instruments;Educational institutions","","2","2","11","IEEE","10 Nov 2012","","","IEEE","IEEE Conferences"
"Supporting dynamic software tool integration via Web service-based components","N. Yap; H. C. Chiong; J. Grundy; R. Berrigan","Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer Engineering and Department of Computer Science, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand",2005 Australian Software Engineering Conference,"11 Apr 2005","2005","","","160","169","Most software engineering tools come with fixed functionality or limited plug-in extension capabilities. Building software development environments that support truly dynamic extension capabilities to incorporate a wide range of additional facilities at run-time has proved to be a very challenging task. We describe a new approach using Web service components to support the dynamic discovery, integration and invocation of remote software tool facilities for JEdit, an open source integrated development environment. In this approach discrete software tool functionality is encapsulated in software ""toolets"", accessed as remote Web service-based components. These toolet services are registered and discovered, and then dynamically integrated and invoked from within the JEdit IDE as required. We describe the architecture of our approach, key design and implementation issues, and illustrate the feasibility of the approach with several prototype toolet components and results of their evaluation.","2377-5408","0-7695-2257-2","10.1109/ASWEC.2005.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1402011","software tool integration;web services;service discovery and integration;integrated development environments","Software tools;Web services;Software engineering;Open source software;Software quality;Productivity;Computer science;Programming;Runtime environment;Computer architecture","","1","","28","IEEE","11 Apr 2005","","","IEEE","IEEE Conferences"
"Interactive Interface for Web-based Programming Environment","H. Yanagisawa; K. Kondou","Department of Computer Science and Electronic Engineering, Tokuyama College of Technology Gakuendai, Shunan, Yamaguchi, Japan; Dept. of Comput. Sci. & Electron. Eng., Tokuyama Coll. of Technol., Yamaguchi, Japan",2013 27th International Conference on Advanced Information Networking and Applications Workshops,"1 Jul 2013","2013","","","168","173","Cloud computing has become very popular in recent years. Various PaaS (Platform as a Service) systems for collaborative software development as well as DaaS (Desktop as a Service) systems for developing software have been proposed. Software development environments are categorized as one of four types: Client-side Development and Client-side Execution, Client-side Development and Server-side Execution, Server-side Development and Server-side Execution (SDSE), and Server-side Development Client-side Execution (SDCE). Most PaaS and DaaS systems assume that applications are developed on a server and executed on the same server. As such, portability of these applications is not considered. In order to improve the portability of the developed software and establish efficiency in the development environment, we propose SDCE and SDSE environments. The SDCE environment provides a Web-based software development environment for graphical user interface applications that can be executed on a local machine, while the SDSE environment provides a Web-based interactive application execution environment for console user interface applications that can be executed on the server.","","978-0-7695-4952-1","10.1109/WAINA.2013.93","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6550391","cloud computing;PaaS (Platform as a Service);WebOS;SDCE (Server-side Development and Client-side Execution);SDSE (Server-side Development and Client-side Execution)","Servers;Graphical user interfaces;Java;Browsers;Cloud computing;Application software","","2","","17","IEEE","1 Jul 2013","","","IEEE","IEEE Conferences"
"Design of online pseudo-code editor and code generator","Liu HaoWen; Long Yin; Li Wei","Computer School of Wuhan University, China; Computer School of Wuhan University, Wuhan, China; Computer School of Wuhan University, Wuhan, China",IEEE Conference Anthology,"10 Apr 2014","2013","","","1","3","To make up for the absence of tools for pseudo-code editing and code generation, a B/S based pseudo-code editor and generator named Transcode is presented. Transcode adopts Javascript in client for editing and displaying and uses Java in server for storage and code generation, making it possible to edit pseudo-code online without delay and providing the function of data reuse. It is compatible to all the mainstream browsers and has great application value.","","978-1-4799-1660-3","10.1109/ANTHOLOGY.2013.6784941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6784941","B/S Mode;XML;Pseudo-code;Code Generate;Reusable","XML;Computers;Educational institutions;Generators;Internet;Servers;Graphical user interfaces","","2","","7","IEEE","10 Apr 2014","","","IEEE","IEEE Conferences"
