"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Synchronized static and dynamic visualization in a web-based programming environment","Jeong Yang; Young Lee; D. Hicks","Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, USA; Electrical Engineering and Computer Science, Texas A&M University-Kingsville, Kingsville, TX, USA",2016 IEEE 24th International Conference on Program Comprehension (ICPC),"7 Jul 2016","2016","","","1","4","This paper presents an approach of static and dynamic visualizations synchronized along with source code in a web-based programming environment, JavelinaCode. Using JavelinaCode, student programmers can write Java programs directly in a frontend web browser without any software or plug-in installation. They are provided with a view of the static state of a Java program in UML class diagrams and the dynamic run-time state of the program by stepping forwards and backwards through program execution. A case study has revealed that our approach is useful, in particular, to trace and detect an object flow anomaly caused by method overriding and polymorphism. A preliminary comparison test result also has shown that through our web-based platform-independent environment, student programmers are freed from concern with continuous version changes and evolutions of the Java language, plug-ins, and operating systems.","","978-1-5090-1428-6","10.1109/ICPC.2016.7503733","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7503733","object-oriented programming;static visualization;dynamic visualization;web-based programming environment","Java;Visualization;Unified modeling language;Programming;Programming environments;Data visualization;Synchronization","","1","","17","IEEE","7 Jul 2016","","","IEEE","IEEE Conferences"
"Build: Web Services based Source Code Editor Integrate with Community Question Answer","S. Dange; R. Kasture; A. Kadhao; A. Thorat; S. Mhamane","School of Computer Engineering and Technology, MIT Academy of Engineering, Pune, India; School of Computer Engineering and Technology, MIT Academy of Engineering, Pune, India; School of Computer Engineering and Technology, MIT Academy of Engineering, Pune, India; School of Computer Engineering and Technology, MIT Academy of Engineering, Pune, India; School of Computer Engineering and Technology, MIT Academy of Engineering, Pune, India",2020 Fourth International Conference on Inventive Systems and Control (ICISC),"19 Aug 2020","2020","","","245","249","Source code editor have different features to ease and speed-up the developer works. This paper proposed the source code editor BUILD integrated with Community Question and Answer (Q&A) and stack overflow web service. While programming developer often came across the set of questions, programming errors, thus in order to find the solutions or resolving the errors developers take reference from the different online resources (Documentations, Books, Q & A Services) through web browser. This leads to switching windows between source code editor and web-browser. To reduce development time and effort, neglect web or internet distractions and to get the specific result to questions we form a community. we combine source code editor and community Q & a services (Stack Overflow, institutional CQA). We also understand different learning resources and development tool which preferred by the developers. Explains the important of the Community Question & Answer (CQA) services.","","978-1-7281-2813-9","10.1109/ICISC47916.2020.9171162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171162","Source code editor;Development tool;Crowdsource knowledge community question and Answer services;Stack overflow;Webservices.","Codes;Web services;Switches;Documentation;Computer architecture;Programming;Control systems","","1","","20","IEEE","19 Aug 2020","","","IEEE","IEEE Conferences"
"A Bad IDEa: Weaponizing uncontrolled online-IDEs in availability attacks","S. Srinivasa; D. Georgoulias; J. M. Pedersen; E. Vasilomanolakis","Aalborg University, Copenhagen, Denmark; Aalborg University, Copenhagen, Denmark; Aalborg University, Copenhagen, Denmark; Aalborg University, Copenhagen, Denmark",2022 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),"27 Jun 2022","2022","","","82","92","Botnets are an ongoing threat to the cyber world and can be utilized to carry out DDoS attacks of high magnitude. From the botmaster's perspective, there is a constant need for deploying more effective botnets and discovering new ways to bolster their bot ranks. Integrated Development Environments (IDEs) have been essential for software developers to write and compile source code. The increasing need for remote work and collaborative workspaces have led to the IDE-as-a-service paradigm that offers online code editing and compilation with multiple language support. In this paper, we show that a multitude of online IDEs do not run control checks on the user code and can be therefore lever-aged by a botnet. We examine the concept of uncontrolled execution environments and present a proof of concept to show how uncontrolled online-IDEs can be weaponized to perform large-scale attacks by a botnet. Overall, we detect a total of 719 online-IDEs with uncontrolled execution environments and limited sandboxing. Lastly, as ethical disclosure, we inform the IDE developers and service providers of the vulnerabilities and propose countermeasures.","2768-0657","978-1-6654-9560-8","10.1109/EuroSPW55150.2022.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9799405","online IDE;uncontrolled execution","Ethics;Codes;Botnet;Weapons;Collaboration;Bandwidth;Denial-of-service attack","","","","26","IEEE","27 Jun 2022","","","IEEE","IEEE Conferences"
"A survey for AWS cloud development tools and services","A. Alalawi; A. Mohsin; A. Jassim","College of Information Technology, University of Bahrain; College of Information Technology, University of Bahrain; College of Information Technology, University of Bahrain",3rd Smart Cities Symposium (SCS 2020),"22 Sep 2021","2020","2020","","17","23","Cloud computing is currently considered one of the fastest-growing businesses in the field of IT. One of cloud computing main benefits is that it can be accessed and managed anytime and from anywhere using the web. In order to allow for such a feature, the cloud service providers offer several development tools and services. This paper shows some of the services offered by AWS, one of the biggest cloud service providers if not the biggest. Services including cloud build, cloud deployment, cloud9, code pipeline and code commit. The paper as well presents a comparison between those features and some other features that are offered by the other competitors. Moreover, it presents the pros and cons, pricing and users’ feedback.","","","10.1049/icp.2021.0898","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9545749","","","","","","","","22 Sep 2021","","","IET","IET Conferences"
"Characterizing Developer Behavior in Cloud Based IDEs","Y. Wang","Department of Software Engineering, Rochester Institute of Technology, Rochester, NY",2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),"11 Dec 2017","2017","","","48","57","Background: Cloud based integrated development environments (IDEs) are rapidly gaining popularity for its native support and potential to accelerate DevOps. However, there is little research of how developers behave when interacting with these environments. Aims: To develop empirical knowledge about how developers behave when interacting with cloud based IDEs to deal with programming tasks at various difficulty levels. Method: We conducted a user study using a cloud based IDE, JazzHub. We collected and coded session trace data, self-reported effort and frustration levels, and screen recordings. Results: We built a Markov activity transition model that describes the transitions among common development activities such as coding, debugging, and searching for information. It also captures extended interactions with remote resources. We correlated activity transition with different code growth trajectories. Conclusion: The findings are an early step toward realizing the potential for enhanced interactions in cloud based IDEs. Our study provides empirical evidence that may inspire the future evolution of cloud based IDE designs and features.","","978-1-5090-4039-1","10.1109/ESEM.2017.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170084","cloud based IDE;developer behavior;code growth trajectory;activity transition","Programming;Cloud computing;Tools;Trajectory","","6","","31","IEEE","11 Dec 2017","","","IEEE","IEEE Conferences"
"CodeHelper: A Web-Based Lightweight IDE for E-Mentoring in Online Programming Courses","X. Liu; G. Woo","Department of Information Convergence Engineering, Pusan National University, Busan, Republic of Korea; Department of Information Convergence Engineering, Pusan National University, Busan, Republic of Korea",2021 3rd International Conference on Computer Communication and the Internet (ICCCI),"27 Jul 2021","2021","","","220","224","Many universities choose online courses instead of in-person during the COVID-19 pandemic. One of the limitations of online courses is that it is difficult to perform teacher-student interactions in online teaching environments. Especially in online programming courses, it is hard to find an appropriate approach to remotely guide students when they have trouble conducting program code. This paper presents a lightweight IDE named CodeHelper integrated with an online judge that allows the instructor or the teaching assistant (TA) to help students in a form of online pair programming. Students can share their code with the instructor or the TA in a sandbox programming environment generated by CodeHelper, and the instructor or the TA can guide students by marking the mistakes in the sandbox. CodeHelper allows real-time pair programming for both sides, which can reduce the time and the cost of distance learning. Besides, the source code shared in the sandbox can also be compiled for syntax check, executed with a user-defined input, and submitted to the online judge for automated assessment, which can let students check the correctness of their programs once their troubles have been solved. It is efficient to use CodeHelper for mentoring students in online programming courses.","","978-1-7281-7618-5","10.1109/ICCCI51764.2021.9486772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9486772","Online programming courses;e-mentoring;pair programming","COVID-19;Pandemics;Education;Syntactics;User experience;Real-time systems;Internet","","1","","11","IEEE","27 Jul 2021","","","IEEE","IEEE Conferences"
"Exploring the Boundaries: Online Compiler Limitations and Capabilities","R. Tomar; A. V. Singh","Amity Institute of Information Technology, Noida; Amity Institute of Information Technology, Noida","2024 11th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","14 May 2024","2024","","","1","7","This study examines the many facets of online compilers, examining their benefits and drawbacks as vital resources for contemporary software development. Web browser-based online compilers have become indispensable for programmers since they provide a platform-neutral environment for coding. The many elements that are built into these platforms-like language support, IDEs, accessibility, and collaboration tools-are all thoroughly examined in our study. Simultaneously, we examine the intrinsic constraints, such as security issues related to remote code execution, constraints on resource allocation, and difficulties with dependency management. We examine the advantages and disadvantages of well-known online compilers via case studies, offering valuable perspectives that help shape the direction of this technology going forward. The study concludes with suggestions for resolving the constraints found and emphasises the critical role online compilers play in the changing software development environment.","2769-2884","979-8-3503-5035-7","10.1109/ICRITO61523.2024.10522387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10522387","Online compilers;Software development;Integrated Development Environments (IDEs);Collaboration;Security concerns;Resource allocation;Dependency management","Technological innovation;Codes;Program processors;Shape;Software;Encoding;Teamwork","","","","20","IEEE","14 May 2024","","","IEEE","IEEE Conferences"
"FPL Demo: SERVE: Agile Hardware Development Platform with Cloud IDE and Cloud FPGAs","Z. Wang; K. Zhang; Y. Chang; Y. Yin; Y. Chen; R. Zhao; S. Wang; M. Chen; Y. Bao","State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China; State Key Laboratory of Processor, ICT, CAS, Beijing, China",2022 32nd International Conference on Field-Programmable Logic and Applications (FPL),"13 Feb 2023","2022","","","471","471","We introduce SERVE, a cloud platform for agile hardware software co-design, with cloud IDE and cloud FPGAs integrated. SERVE enables users to focus on logic designs, without facing the hassle of setting up FPGA tools and development environment. Users can write and simulate hardware logic in the cloud IDE and then generate bitstream files through a Continuous Integration (CI) pipeline. Finally, the bitstream files are deployed on an FPGA board. A great amount of testbenches will be executed to ensure the correctness of the hardware logic. We will demo a workflow of modifying a RISC- V processor and getting the design change quickly evaluated using SERVE.","1946-1488","978-1-6654-7390-3","10.1109/FPL57034.2022.00087","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10035240","","Pipelines;Hardware;Software;Logic design;Field programmable gate arrays","","1","","2","IEEE","13 Feb 2023","","","IEEE","IEEE Conferences"
"Selecting the most appropriate web IDE for learning programming using AHP","I. Škorić; B. Pein; T. Orehovački","Department of Information and Communication Technologies, Juraj Dobrila University of Pula, Pula, Croatia; Department of Information and Communication Technologies, Juraj Dobrila University of Pula, Pula, Croatia; Department of Information and Communication Technologies, Juraj Dobrila University of Pula, Pula, Croatia","2016 39th International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","28 Jul 2016","2016","","","877","882","The focus in computing today has shifted from the desktop environment to the Web. Tasks that were previously performed exclusively on desktop can now be done in Web environment. Web tools have the same features as their desktop counterparts and offer additional specific benefits. These tools do not need to be installed or updated nor are restricted to individual computer or operating system yet available anytime and from any location. Work can be done in collaboration and result can be easily shared. The same applies to programming which indicates that complete process of software development can now be done without the use of traditional desktop tools. The basic tool used in software development is an IDE (Integrated Development Environment) which allows writing, translating and testing programs. It is also commonly used in a learning programming process. Replacing desktop IDE with its Web equivalent in learning programming has potential to improve that process and bring some advantages related to new environment. This paper presents the use of AHP (Analytic Hierarchy Process) method for multi-criteria decision-making related to choosing the most appropriate Web IDE for learning programming and reports experience of its use in introductory programming course.","","978-953-233-086-1","10.1109/MIPRO.2016.7522263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7522263","","Programming profession;Analytic hierarchy process;Information and communication technology;Software;Computer languages","","11","","30","","28 Jul 2016","","","IEEE","IEEE Conferences"
"Gamifying the Code Genie Programming Tool","H. M. Jawad","Computer Science, Eastern Michigan University, Michigan, USA",2019 IEEE International Conference on Electro Information Technology (EIT),"12 Sep 2019","2019","","","555","559","The Code Genie programming environment was built by the researcher and the author of this paper as part of a Ph.D. study to encourage high school student for coding in JavaScript language. This environment was tested and used in three coding workshops. The participated students had several suggestions in their feedback comments. One of the common suggestions was adding a tutorial section to the environment. Gamification elements and the suggested tutorial section were added to the Code Genie web Integrated Development Environment (IDE). This update is introduced and discussed in this paper.","2154-0373","978-1-7281-0927-5","10.1109/EIT.2019.8833771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8833771","computer programming for high school students;computer science for girls;art with coding;animation;code sharing;STEM tool for k12;Code Genie development environment;web IDE","Tools;Programming profession;Encoding;Tutorials;Animation;Art","","1","","16","IEEE","12 Sep 2019","","","IEEE","IEEE Conferences"
"Web-based integrated development environment for event-driven applications","H. Tunc; A. Taddese; P. Volgyesi; J. Sallai; P. Valdastri; A. Ledeczi","The Institute for Software Integrated Systems, Vanderbilt University, Nashville, Tennessee; Department of Mechanical Engineering, Vanderbilt University, Nashville, Tennessee; The Institute for Software Integrated Systems, Vanderbilt University, Nashville, Tennessee; The Institute for Software Integrated Systems, Vanderbilt University, Nashville, Tennessee; Department of Mechanical Engineering, Vanderbilt University, Nashville, Tennessee; The Institute for Software Integrated Systems, Vanderbilt University, Nashville, Tennessee",SoutheastCon 2016,"9 Jul 2016","2016","","","1","8","Event-driven programming is a popular methodology for the development of resource-constrained embedded systems. While it is a natural abstraction for applications that interface with the physical world, the disadvantage is that the control flow of a program is hidden in the maze of event handlers and call-back functions. TinyOS is a representative event-driven operating system, designed for wireless sensor networks, featuring a component-based architecture that promotes code reuse. In this paper, we present a web-based model-driven graphical design environment for TinyOS that visualizes the component hierarchy of an application, and captures its event-based scheduling mechanism. In contrast with existing visual environments, our representation explicitly captures the control flow of the application through events and commands, which makes it easier to understand the program logic than studying the source code. The design environment supports two-way code generation: mapping the visual representation to TinyOS source code, as well as building visual models from existing sources.","1558-058X","978-1-5090-2246-5","10.1109/SECON.2016.7506646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7506646","","Visualization;Operating systems;Instruction sets;Programming;Computational modeling;Context","","2","","10","IEEE","9 Jul 2016","","","IEEE","IEEE Conferences"
