title|abstract|keywords|released|link
^Development of Project Management Module for Reflex Cloud IDE^|^Paper describes a project management module for the Reflex process-oriented language cloud IDE. Currently, a prototype IDE called RIDE has been developed for the Reflex language, based on Eclipse Theia. This implementation approach allows the user to launch the IDE in a browser and immediately begin developing embedded control software. However, Theia is aimed at single-user applications and this drawback limits complexity of the programs. Therefore, Reflex IDE requires a development environment, which provides sufficient features for group development. The paper analyzes existing cloud IDEs and multi-user collaboration in projects, formulates architectural requirements for the project management module, and describes the implementation of the cloud IDE RIDE using the Reflex language.^|^cloud IDE; RIDE; Reflex; Industry 4.0; project management module^|^2024^|^https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10515647^
^Exploring the Boundaries: Online Compiler Limitations and Capabilities^|^This study examines the many facets of online compilers, examining their benefits and drawbacks as vital resources for contemporary software development. Web browser-based online compilers have become indispensable for programmers since they provide a platform-neutral environment for coding. The many elements that are built into these platforms-like language support, IDEs, accessibility, and collaboration tools-are all thoroughly examined in our study. Simultaneously, we examine the intrinsic constraints, such as security issues related to remote code execution, constraints on resource allocation, and difficulties with dependency management. We examine the advantages and disadvantages of well-known online compilers via case studies, offering valuable perspectives that help shape the direction of this technology going forward. The study concludes with suggestions for resolving the constraints found and emphasises the critical role online compilers play in the changing software development environment.^|^Online compilers; Software development; Integrated Development Environments (IDEs); Collaboration; Security concerns; Resource allocation; Dependency management^|^2024^|^https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10522387^
^CodeXchange: Leaping into the Future of AI-Powered Code Editing^|^In the ever-changing internet ecosystem, where programs need to be regularly updated by users themselves not saving time and space, web-based coding tools surpass conventional desktop programs. Thus, showing online code editors enabling programmers to interact, experiment, and innovate efficiently. This study centers on "CodeXchange," an innovative online code editor designed to streamline coding processes and foster collaboration. It discusses the capabilities of code translation in Python, Java, and C++, optimization, auto-commenting, and collaborative development. Translation aids in code interchange, optimization ideas enhance time complexity and maintainability, while direct code comments improve documentation and comprehension. Multiple developers can interact on the same codebase using websockets and secure shared room access keys, enabling real-time collaborative coding and fostering knowledge exchange and cooperation. This study showcases the significant development of online code editors and their potential to revolutionize how programmers communicate, develop, and learn.^|^Code translation; Optimization; Comments Generation; Websockets; IDEs; Code editors; Parsing^|^2024^|^https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10585043^
^CREATOR: An Educational Integrated Development Environment for RISC-V Programming^|^This article introduces a new integrated development environment called CREATOR (didaCtic and geneRic assEmbly progrAmming simulaTOR) that provides an interactive platform for educational assembly programming. CREATOR is specially designed for the academic environment, so it is very intuitive to users who are encountering assembly for the first time. It makes the traditional theory classes interactive, engaging students’ participation. Moreover, it is a multiplatform simulator that can be used with a web browser without requiring a server or additional installations, and it can be used on different types of devices. CREATOR allows all the necessary steps to be performed on the same tool, from the implementation of the assembly program to its execution on real hardware. For this purpose, it allows editing, compiling, simulating, debugging, and loading the program on the hardware device without auxiliary software. In addition, it is also capable of detecting compilation errors, execution errors, and violations of the parameter passing convention, helping users understand the reason for a given error so that they can resolve it. CREATOR offers the RISC-V and MIPS32 architectures by default. However, it is possible to modify these architectures or add new architectures in the tool as needed by any user. This feature allows teachers to prepare practical labs adapted to the teaching objectives, and it can also be used for research, e.g., for the study of different instruction sets.^|^Assembly programming; educational simulator; ESP32-RISCV; integrated development environment (IDE); RISC-V^|^2024^|^https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10540579^
^A visual programming tool for mobile web augmentation^|^The use of mobile devices for web browsing has increased extraordinarily in recent years, becoming the main source of information. Unfortunately, developers cannot meet the needs of all users. As a result, users have been forced to adapt web content to their needs. Additionally, users face more costly interactions than on desktop computers due to the smaller screen size of cell phones. These interactions include URL typing, scrolling, taping, branching and tab-switching. If the number of web resources is large, the activity becomes unpleasant. Furthermore, should the quantity of interactions be extensive, the web experience also becomes unpleasant. Moreover, all these interactions lead to higher costs in terms of phone time and battery life, as well as more costly navigation. Web augmentation enhances the user web experience by adding content from different resources, modifying the original layout, or reducing interactions during web searches, among other benefits. To reduce user interactions and satisfy their information necessities, we propose MAWA, an extension for Firefox mobile that allows users to adapt any web page to their needs through web augmentation techniques. To validate our proposal, an evaluation of the tool has been carried out. The article presents the benefits introduced by MAWA as a response to the inconveniences experienced by users when performing their activities in the mobile browser. The results obtained show that MAWA is able to reduce the number of interactions significantly, as well as to reduce battery consumption and the time needed to obtain the desired information. In addition, users perceive that navigation is less cluttered. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.^|^Customization; End-user development; Human–computer interaction; Mobile browser; Web augmentation^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194409800&doi=10.1007%2fs10115-023-02039-6&partnerID=40&md5=18c31c8ff3fa3d32ce9fd06f01e706e6^
^Conditioning the Rhythm of Rehabilitative Appropriation Within a Multiple Intelligences Programming Environment^|^The utilization of evolving technologies has recently upgraded challenging methodologies in fields of humanities, such as pedagogy and psychology, by providing tools that serve the processes of diagnosis and treatment of human dysfunctions. Medical data comprise sensitive information and require special handling in the design of systems that serve it. Based on these principles, the processes involving the creation of software for mobile devices alongside its operative web environment are presented in this paper; these modules overall are appropriated to suit the diverse needs of persons undergoing rehabilitation, training and therapy aiming to restore cognitive functions to their former conditions, and if possible, enhance the acquisition of skills through their use. A distinction was made between Piaget’s stages of cognitive development and Gardner’s theory of multiple intelligences. The resulting software has five basic functions and was designed in collaboration with the Cochlear Implantation Center of the AHEPA University Hospital. The aforementioned system utilizes Stable Diffusion™ (text-to-image) AI technology as well as Ionic™ – React™ technology. Emphasis is paid to stages of cognitive development linked to musical intelligence adeptness. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.^|^Ionic and React Deep Learning Environments; Stable Diffusion and Rehabilitation; Web Audio APIs^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187674741&doi=10.1007%2f978-3-031-54327-2_31&partnerID=40&md5=83fb031aa90461dc8ef2e24943d2cc64^
^IoT Based Anti-Theft Flooring System Using CC3200^|^Security is a basic need in an urbanized city. Major home theft has increased a lot these days. Every three minutes there is robbery happening in INDIA according to a major report given by the crime bureau. Home theft has increased compared to the previous years, there is not even a small drop or reduction in home theft instead there is only rapid increase. To reduce there are many ways, which can be diffused so easily these days using the advanced features that have been developed in the present generation. In all security problems, the device has been found to secure and reduce the home theft rate. This study uses CC3200, a structured microcontroller interfaced with the piezoelectric sensor so that once if the thief enters the house and steps on the mat the sensor reads and send the data to the cloud and the data sent to the cloud can be viewed and the theif can be caught so easily.  © 2024 IEEE.^|^CC3200; HAS; IDE; IoT; SDK; SENSOR^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190145912&doi=10.1109%2fIDCIoT59759.2024.10467952&partnerID=40&md5=2dd0697456439292a4318289c91daade^
^'Smart Air purification: Enhancing Indoor Air quality using Arduino Uno and ThingSpeak Integration'^|^The Indoor air quality (IAQ) has become a growing concern due to the significant impact it has on human health and well-being. Traditional air purifiers offer solutions, but their efficiency and effectiveness often remain limited due to manual operation and lack of real-time monitoring capabilities. To address this issue, this paper proposes the development of Smart Air purifier system, integrating Arduino microcontroller technology with the ThingSpeak platform for enhanced IAQ monitoring and control. The proposed system employees Arduino as the central processing unit, with sensors for detecting various air pollutants and harmful gases such as CO, LPG etc., and temperature-humidity levels. These sensors continuously collect the data on IAQ parameters, which are then processed by the Arduino and transmitted to the ThingSpeak cloud platform using Wi-Fi connectivity. © 2024 IEEE.^|^Arduino IDE-Arduino Integrated Development Environment; DHT11-Digital Humidity and Temperature sensor; HEPA-High Efficiency particulate air; IAQ-Indoor Air Quality; IoT-Internet of Things; MQ2-Methane Quality sensor^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197923971&doi=10.1109%2fICSSES62373.2024.10561320&partnerID=40&md5=ebdd23ab227b5280a08a05311109b50c^
^How to Run GUI Applications on a Java Development Environment Based on JupyterLab^|^Programming education is important. Although Java is an important language, it is rarely used in introductory programming education. One reason for this is that there is no programming education environment suitable for Java. In previous research, we showed that running Java on JupyterLab is a suitable method for programming education. Furthermore, we used JupyterLab to build a browser-based Java development environment and verified whether the actual class code could be executed. We found that Java source code that does not use a graphical user interface (GUI), including code that performs communication, is almost 100% executable. However, code that uses a GUI was difficult to execute. In this paper, we propose a method to run Java code that uses a GUI using Jupyter Lab and CheerpJ. We found that GUI code that does not perform communication is almost 100% executable. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.^|^^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191349936&doi=10.1007%2f978-3-031-57840-3_26&partnerID=40&md5=deb9aaf19bc66abf7c64bf036c380a9a^
^A Smart Irrigation System for Plant Health Monitoring Using Unmanned Aerial Vehicles and IoT^|^The Internet of Things (IoT) and Unmanned Aerial Vehicles (UAVs) in agriculture has revolutionized traditional farming practices, giving rise into precision agriculture. With an increasing global population and the challenges raised by climate change, there is a need for novel farming solutions that conserve resources and increase food production. Agriculture majorly depends on significant water resources, and improper irrigation and excessive nutrient application often lead to the wastage of water and nutrient leaching. On the other hand, monsoon-dependent farmlands suffer drought related challenges. Therefore, IoT-enabled smart irrigation systems are preferred over traditional irrigation methods. This research proposes a smart irrigation system for plant health monitoring using UAVs and the IoT. The data collected though the sensors is transmitted to a cloud-based platform for analysis, offering timely information into plant health. The proposed system could help to enhance plant health, increase yields, reduce resource consumption and labor costs, and provide valuable insights to help farmers make informed decisions. © 2024, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.^|^Agriculture; Arduino Integrated Development Environment (AIDE); Internet of Things (IoT); Sensors; Unmanned Aerial Vehicles (UAVs)^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178563923&doi=10.1007%2f978-981-99-6586-1_34&partnerID=40&md5=06b9c0a0df59e1866cc9b4da99cef223^
^A Collaborative Coding Platform for Both College Students and Teachers^|^In the rapidly evolving field of computer science education, there is an increasing demand for a comprehensive coding platform that caters to the needs of both college students and educators Although the educational setting is vital in exposing students to computer programming, current coding practices are frequently unsatisfactory because evaluating proposed solutions takes a lot of time. The aim of this research paper is to develop an integrated web-based coding platform called “CodeConnect”. This platform offers a flexible ecosystem for coding practice, assessment, and collaborative learning, with the goal of empowering educators and learners alike. It acts as a database of programming problems, providing opportunities for training, practice, and tracking of progress. Our web application aims to create a supportive community that promotes collaboration, skill development, and a passion for coding by bridging the gap between students and educators. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.^|^Code editor; Coding practice; Collaborative platform; Computer programming; Web application^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194222149&doi=10.1007%2f978-981-97-1329-5_28&partnerID=40&md5=c393c40be3e8d301d458b601ff050431^
^An Accessible Blocks Language for Students with and without Visual Impairments^|^Blocks-based programming languages (BBPLs) have proven effective for instructing early learners in programming. Unlike text-based languages, BBPLs eliminate the need to memorize syntax rules by enforcing correct program structure through block assembly. However, the visual nature of BBPLs can pose challenges for children with visual impairments and blindness (VI). Moreover, the existing BBPLs tailored for children with VI are rarely embraced by sighted children due to their limited capabilities. To explore the creation of an inclusive BBPL that can be used by both children with and without VI, we devised a web-based BBPL platform with keyboard accessibility functionalities and personalized audio cues through an incorporated screen reader. Within this platform, called Grid-world, students engage with basic programming concepts, including iteration and selection, through entertaining games and animations-such as navigating a character within a 2D grid space. Notably, Grid-world accommodates children with VI without the need for extra hardware or assistive devices. We conducted two empirical assessments of Grid-world involving participants with and without VI. The observational analysis of participant interaction and survey responses illuminated areas for enhancement. We describe the rationale behind Grid-world's design and accessibility features, incorporating findings from experimental studies, including participants' feedback on the accessibility features.  © 2024 ACM.^|^accessibility; blocks-based programming environments; computer science education; k-12 education; visual impairments^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189296596&doi=10.1145%2f3626252.3630775&partnerID=40&md5=ed191e623ab2a88b18405766291bc960^
^OpenVP: A Customizable Visual Programming Environment for Robotics Applications^|^Authored robotics applications have a diverse set of requirements for their authoring interfaces, being dependent on the underlying architecture of the program, the capabilities of the programmers and engineers using them, and the capabilities of the robot. Visual programming approaches have long been favored for both novice-level accessibility and clear graphical representations, but current tools are limited in their customizability and ability to be integrated holistically into larger design interfaces. OpenVP attempts to address this by providing a highly configurable and customizable component library that can be integrated easily into other modern web-based applications. © 2024 IEEE Computer Society. All rights reserved.^|^blocks; library; programming; visual^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188463211&doi=10.1145%2f3610977.3637477&partnerID=40&md5=67412a2b0641256749026788f291e7e3^
^ChainForge: A Visual Toolkit for Prompt Engineering and LLM Hypothesis Testing^|^Evaluating outputs of large language models (LLMs) is challenging, requiring making-and making sense of-many responses. Yet tools that go beyond basic prompting tend to require knowledge of programming APIs, focus on narrow domains, or are closed-source. We present ChainForge, an open-source visual toolkit for prompt engineering and on-demand hypothesis testing of text generation LLMs. ChainForge provides a graphical interface for comparison of responses across models and prompt variations. Our system was designed to support three tasks: model selection, prompt template design, and hypothesis testing (e.g., auditing). We released ChainForge early in its development and iterated on its design with academics and online users. Through in-lab and interview studies, we find that a range of people could use ChainForge to investigate hypotheses that matter to them, including in real-world settings. We identify three modes of prompt engineering and LLM hypothesis testing: opportunistic exploration, limited evaluation, and iterative refinement. © 2024 Copyright held by the owner/author(s)^|^auditing; language models; prompt engineering; toolkits; visual programming environments^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194857675&doi=10.1145%2f3613904.3642016&partnerID=40&md5=b9d546a44b690df518683441ca313b15^
^Extensible Tooling for Reactive Programming Based on Active Expressions^|^Reactive programming uses dedicated language concepts such as signals, data bindings, and constraints, so developers can better express behavior that is triggered by data changes and user interactions. As applications also contain aspects that cannot be easily expressed through reactive programming, reactive concepts are often integrated into more generally applicable imperative programming languages. Although such language integrations are readily available, working on reactive code with tools designed for imperative code is hard, because without dedicated tool support implementation details may leak unintentionally. There are special tools for reactive programming available, however, they are expensive to make. Further, a tool typically supports only a single language concept and cannot be applied to others even though they build on similar ideas. Consequently, control flow or data flow cannot be followed between concepts. We propose to leverage the commonalities found in reactive programming concepts to create reusable tool components for data gathering and visualization. To do so we create a toolset working on a generalization of reactive programming concepts, Active Expressions. By building upon the generic tool components, tool developers can create tool support for specific reactive concepts. Furthermore, multiple reactive concepts and their potentially complex interaction can be explored in one shared environment. We implemented the approach in the Lively4 Web-based JavaScript development environment using its Active Expression framework. Our toolset gathers relevant data about the reactive system and visualizes it using code annotations, an overview tree, an event timeline, and a dependency graph. We evaluate the reusability of this toolset by adapting it to two more concepts: signals, and implicit layer activation, known from context-oriented programming. We found that most of the functionality provided by the toolset can be reused, thus, reducing the implementation effort. Further, we show that multiple reactive concepts can be supported by the same common toolset. Programmers can use and debug multiple different reactive concepts simultaneously, without requiring new tools for each one. For future work, we believe our common toolset provides a starting point for researching the interplay between multiple reactive programming concepts. © (2024), Association Internationale pour les Technologies Objets.^|^Active Expressions; Development Environments; Lively Kernel; Programming Tools; Reactive Programming^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192999153&doi=10.5381%2fJOT.2024.23.1.A4&partnerID=40&md5=e8dd55fc65b9fa1cc116c8eaa3f47a14^
^Use of basic programming tools to foster programming logic in university students with school preparation other than computer science^|^Teaching programming logic to students who do not have a background in computer science is challenging, as the instructor has to awaken problem-solving, critical thinking, and logical reasoning skills Several programming tools have been created to teach coding concepts to computer science students of different ages. However, these tools are not well designed to meet the challenge of teaching programming to new developers who come with school training in other areas such as accounting, management, etc. Therefore, this research focused on analyzing the importance of the application of online programming tools to students starting college who come with a school background in an area other than technology. A pre/post experimental design was carried out with 82 first-level students of the Technical University of Ambato in the careers of Systems and Electronics. The results revealed that 45% of the students increased their levels of application and analysis in programming processes. In addition, the research revealed that students who come from a background other than computer science agree with the integration of online programming tools from the first level of university entrance since this method helps to improve their learning capacity. © 2024 The Authors. Published by ELSEVIER B.V.^|^Programming logic; programming tools; software development; undergraduate student^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195398667&doi=10.1016%2fj.procs.2024.05.122&partnerID=40&md5=0cb43d948d38ce60762745b319035b65^
^Requirements for an Online Integrated Development Environment for Automated Programming Assessment Systems^|^More and more introductory programming courses are being held online, using Automated Programming Assessment Systems (APASs). Some APASs provide online editors where students can solve and submit their exercises, because some course teachers want to avoid that students have to set up an Integrated Development Environment (IDE) on their PCs, fearing that this could increase the entry barrier to the course. However, most of the available online editors for APASs only provide rudimentary programming support, making it harder to write code and, therefore, have the undesired side effect of increasing the entry barrier to learning programming. To gain a better understanding of the requirements of an online IDE for APASs, we conducted a survey asking 48 APASs users to give their opinions on the importance of different online IDE features. Based on their responses we derived a set of main requirements for an online IDE within APASs. The survey was complemented by a tool review of state-of-the-art online IDEs, to see whether existing online IDEs meet the requirements. Finally, we evaluated whether the online IDEs can be integrated within APASs. This study establishes a framework for online IDEs tailored to APASs, creating the foundation for subsequent improvements. Copyright © 2024 by SCITEPRESS – Science and Technology Publications, Lda.^|^Automated Programming Assessment Systems; Integrated Development Environments; Online IDE; Programming Education; Requirements^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193906566&doi=10.5220%2f0012556400003693&partnerID=40&md5=84d84745c4cf0fbaed52ae7e6461ffc3^
^Development environment, tools, and SDKs for serverless computing^|^Serverless applications require a good development environment and the right tools. This chapter guides serverless computing application developers through installing and utilising essential components and technologies. VSCode is a robust code editor and debugger. Easy installation provides developers with a diverse code editing and debugging platform. AWSToolkit for VS Code simplifies serverless application development, testing, and release on Amazon web services (AWS). Fast setup with step-by-step instruction makes AWS serverless development easy for developers. Node.js is needed for serverless apps. Developers require Node.js for local and cloud serverless operations. This chapter briefly describes installation. Postman is essential for serverless API testing. Postman installation and use for serverless API testing and troubleshooting are covered in this chapter. Developers seeking efficiency will benefit. These concepts let developers build a strong development environment, integrate AWS resources, and leverage SDKs to build serverless apps. © 2024, IGI Global. All rights reserved.^|^^|^2024^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191813297&doi=10.4018%2f979-8-3693-1682-5.ch015&partnerID=40&md5=d366df8f30a5da9e55942054a1be8a29^
